copy_text,quality_score,word_count
Luxury townhouse in downtown,8.123215817089406,4
Cozy cabin near lake Zillow,9.339286695603093,5
Luxury townhouse in downtown,7.369487821851771,4
Cozy cabin near lake Zillow,7.98205406651873,5
Luxury townhouse in downtown,8.328172790053335,4
Cozy cabin near lake Zillow,7.0185354337369965,5
Luxury townhouse in downtown,7.7689109781725,4
Cozy cabin near lake Zillow,7.5151108809381535,5
Luxury townhouse in downtown,7.617211318258598,4
Cozy cabin near lake Zillow,6.57238825937344,5
Luxury townhouse in downtown,7.529412209110731,4
Cozy cabin near lake Zillow,8.09759794949454,5
Luxury townhouse in downtown,9.24137232935405,4
Cozy cabin near lake Zillow,8.651124991302249,5
Luxury townhouse in downtown,10.083818949013867,4
Cozy cabin near lake Zillow,6.579182924534341,5
Luxury townhouse in downtown,8.546784764064814,4
Cozy cabin near lake Zillow,7.720010406886022,5
Luxury townhouse in downtown,10.127763519861206,4
Cozy cabin near lake Zillow,6.5300420575738185,5
Luxury townhouse in downtown,6.492333789383069,4
Cozy cabin near lake Zillow,6.780728825467174,5
Luxury townhouse in downtown,4.9513251308282324,4
Cozy cabin near lake Zillow,6.8690939739830865,5
Luxury townhouse in downtown,6.5890408061355625,4
Cozy cabin near lake Zillow,7.680472543771449,5
Luxury townhouse in downtown,7.910107170932592,4
Cozy cabin near lake Zillow,9.751405007059063,5
Luxury townhouse in downtown,8.64050860582326,4
Cozy cabin near lake Zillow,6.807715613205116,5
Luxury townhouse in downtown,6.42190239438197,4
Cozy cabin near lake Zillow,8.090303005807806,5
Luxury townhouse in downtown,5.915720151575229,4
Cozy cabin near lake Zillow,9.697750519025224,5
Luxury townhouse in downtown,8.915328144865544,4
Cozy cabin near lake Zillow,6.936989217474355,5
Luxury townhouse in downtown,5.444238565090947,4
Cozy cabin near lake Zillow,9.124646848998495,5
Luxury townhouse in downtown,7.362552185696859,4
Cozy cabin near lake Zillow,8.985379574368155,5
Luxury townhouse in downtown,5.58668680944676,4
Cozy cabin near lake Zillow,6.780749972455473,5
Luxury townhouse in downtown,7.50629243966182,4
Cozy cabin near lake Zillow,7.55637671251769,5
Luxury townhouse in downtown,6.959921434224908,4
Cozy cabin near lake Zillow,8.247419918816998,5
Luxury townhouse in downtown,6.218855484740887,4
Cozy cabin near lake Zillow,7.329144617974448,5
Luxury townhouse in downtown,7.644354758054279,4
Cozy cabin near lake Zillow,8.117326600870499,5
Luxury townhouse in downtown,8.353937853706668,4
Cozy cabin near lake Zillow,6.150429489794557,5
Luxury townhouse in downtown,5.659062995117253,4
Cozy cabin near lake Zillow,9.033212186278211,5
Luxury townhouse in downtown,7.89877681437551,4
Cozy cabin near lake Zillow,6.601816156132136,5
Luxury townhouse in downtown,9.361382370627027,4
Cozy cabin near lake Zillow,7.63880956115143,5
Luxury townhouse in downtown,8.915156620876592,4
Cozy cabin near lake Zillow,7.581022177692131,5
Luxury townhouse in downtown,9.972897509858385,4
Cozy cabin near lake Zillow,9.606409010931845,5
Luxury townhouse in downtown,7.201243021825112,4
Cozy cabin near lake Zillow,8.665885141145226,5
Luxury townhouse in downtown,8.274451139502178,4
Cozy cabin near lake Zillow,9.142357869038818,5
Luxury townhouse in downtown,6.342091847303875,4
Cozy cabin near lake Zillow,8.323261751998126,5
Luxury townhouse in downtown,8.770109384219506,4
Cozy cabin near lake Zillow,5.389512616292263,5
Luxury townhouse in downtown,6.0800897848010695,4
Cozy cabin near lake Zillow,5.0529213866878795,5
Luxury townhouse in downtown,7.17671179866653,4
Cozy cabin near lake Zillow,8.361050706955155,5
Luxury townhouse in downtown,9.302828462515233,4
Cozy cabin near lake Zillow,7.58891373650373,5
Luxury townhouse in downtown,9.45433865468555,4
Cozy cabin near lake Zillow,5.84387825014213,5
Luxury townhouse in downtown,5.455941072773815,4
Cozy cabin near lake Zillow,7.433342761324058,5
Luxury townhouse in downtown,7.960878538727169,4
Cozy cabin near lake Zillow,7.460766302287088,5
Luxury townhouse in downtown,5.019069479952148,4
Cozy cabin near lake Zillow,7.393055952584654,5
Luxury townhouse in downtown,5.934636599394176,4
Cozy cabin near lake Zillow,8.303607058596047,5
Luxury townhouse in downtown,7.939917895316218,4
Cozy cabin near lake Zillow,6.372144256407173,5
Luxury townhouse in downtown,6.883359699195967,4
Cozy cabin near lake Zillow,6.228943773733258,5
Luxury townhouse in downtown,7.4247850832721936,4
Cozy cabin near lake Zillow,8.646170784601486,5
Luxury townhouse in downtown,6.317128744397348,4
Cozy cabin near lake Zillow,8.104855818621413,5
Luxury townhouse in downtown,6.863690857953071,4
Cozy cabin near lake Zillow,6.548552601285187,5
Luxury townhouse in downtown,7.371563568054531,4
Cozy cabin near lake Zillow,6.257709213096751,5
Luxury townhouse in downtown,6.8356208335833815,4
Cozy cabin near lake Zillow,6.062546528893382,5
